CMDLINE python app.py
MEM 258.234375 1683885040.0636
MEM 258.234375 1683885040.1736
MEM 258.234375 1683885040.2837
MEM 258.359375 1683885040.3947
MEM 258.359375 1683885040.5048
MEM 258.359375 1683885040.6148
MEM 258.359375 1683885040.7248
MEM 258.359375 1683885040.8338
MEM 258.359375 1683885040.9458
MEM 258.359375 1683885041.0554
MEM 258.359375 1683885041.1648
MEM 258.359375 1683885041.2748
MEM 258.359375 1683885041.3842
MEM 258.359375 1683885041.4951
MEM 258.359375 1683885041.6038
MEM 258.359375 1683885041.7128
MEM 258.359375 1683885041.8218
MEM 258.359375 1683885041.9318
MEM 258.359375 1683885042.0429
MEM 258.359375 1683885042.1509
MEM 258.359375 1683885042.2589
MEM 258.359375 1683885042.3689
MEM 258.359375 1683885042.4769
MEM 258.359375 1683885042.5879
MEM 258.359375 1683885042.6981
MEM 258.359375 1683885042.8082
MEM 258.359375 1683885042.9179
MEM 258.359375 1683885043.0269
MEM 258.359375 1683885043.1361
MEM 258.359375 1683885043.2471
MEM 258.359375 1683885043.3551
MEM 258.359375 1683885043.4642
MEM 258.359375 1683885043.5722
MEM 258.359375 1683885043.6832
MEM 258.359375 1683885043.7926
MEM 258.359375 1683885043.9022
MEM 258.359375 1683885044.0122
MEM 258.359375 1683885044.1222
MEM 258.359375 1683885044.2342
MEM 258.359375 1683885044.3414
MEM 258.359375 1683885044.4522
MEM 258.359375 1683885044.5622
MEM 258.359375 1683885044.6722
MEM 258.359375 1683885044.7822
MEM 258.359375 1683885044.8917
MEM 258.359375 1683885044.9987
MEM 258.359375 1683885045.1097
MEM 258.359375 1683885045.2167
MEM 258.359375 1683885045.3267
MEM 258.359375 1683885045.4387
MEM 258.359375 1683885045.5489
MEM 258.359375 1683885045.6599
MEM 258.359375 1683885045.7709
MEM 258.359375 1683885045.8830
MEM 258.359375 1683885045.9930
MEM 258.359375 1683885046.1030
MEM 258.359375 1683885046.2131
MEM 258.359375 1683885046.3221
MEM 258.359375 1683885046.4331
MEM 258.359375 1683885046.5431
MEM 258.359375 1683885046.6541
MEM 258.359375 1683885046.7634
MEM 258.359375 1683885046.8741
MEM 258.359375 1683885046.9861
MEM 258.359375 1683885047.0981
MEM 258.359375 1683885047.2092
MEM 258.359375 1683885047.3152
MEM 258.359375 1683885047.4252
MEM 258.359375 1683885047.5372
MEM 258.359375 1683885047.6464
MEM 258.359375 1683885047.7565
MEM 258.359375 1683885047.8652
MEM 258.359375 1683885047.9753
MEM 258.359375 1683885048.0862
MEM 258.359375 1683885048.1982
MEM 258.359375 1683885048.3076
MEM 258.359375 1683885048.4162
MEM 258.359375 1683885048.5252
MEM 258.359375 1683885048.6352
MEM 258.359375 1683885048.7472
MEM 258.359375 1683885048.8572
MEM 258.359375 1683885048.9662
MEM 258.359375 1683885049.0731
MEM 258.359375 1683885049.1815
MEM 258.359375 1683885049.2891
MEM 258.359375 1683885049.3999
MEM 258.359375 1683885049.5108
MEM 258.359375 1683885049.6188
MEM 258.359375 1683885049.7278
MEM 258.359375 1683885049.8348
MEM 258.359375 1683885049.9428
MEM 258.359375 1683885050.0512
MEM 258.359375 1683885050.1622
MEM 258.359375 1683885050.2723
MEM 258.359375 1683885050.3823
MEM 258.359375 1683885050.4913
MEM 258.359375 1683885050.6004
MEM 258.359375 1683885050.7079
MEM 258.359375 1683885050.8154
MEM 258.359375 1683885050.9244
MEM 258.359375 1683885051.0334
MEM 258.359375 1683885051.1437
MEM 258.359375 1683885051.2547
MEM 258.359375 1683885051.3637
MEM 258.359375 1683885051.4727
MEM 258.359375 1683885051.5817
MEM 258.359375 1683885051.6907
MEM 258.359375 1683885051.7997
MEM 258.359375 1683885051.9087
MEM 258.359375 1683885052.0157
MEM 258.359375 1683885052.1257
MEM 258.359375 1683885052.2357
MEM 258.359375 1683885052.3457
MEM 258.359375 1683885052.4538
MEM 258.359375 1683885052.5628
MEM 258.359375 1683885052.6718
MEM 258.359375 1683885052.7808
MEM 258.359375 1683885052.8908
MEM 258.359375 1683885052.9978
MEM 258.359375 1683885053.1062
MEM 258.359375 1683885053.2143
MEM 258.359375 1683885053.3241
MEM 258.359375 1683885053.4361
MEM 258.359375 1683885053.5441
MEM 258.359375 1683885053.6551
MEM 258.359375 1683885053.7633
MEM 258.359375 1683885053.8727
MEM 258.359375 1683885053.9837
MEM 258.359375 1683885054.0937
MEM 258.359375 1683885054.2037
MEM 258.359375 1683885054.3137
MEM 258.359375 1683885054.4219
MEM 258.359375 1683885054.5339
MEM 258.359375 1683885054.6459
MEM 258.359375 1683885054.7579
MEM 258.359375 1683885054.8670
MEM 258.359375 1683885054.9790
MEM 258.359375 1683885055.0890
MEM 258.359375 1683885055.2000
MEM 258.359375 1683885055.3110
MEM 258.359375 1683885055.4200
MEM 258.359375 1683885055.5310
MEM 258.359375 1683885055.6404
MEM 258.359375 1683885055.7502
MEM 258.359375 1683885055.8598
MEM 258.359375 1683885055.9858
MEM 258.359375 1683885056.0943
MEM 258.359375 1683885056.2033
MEM 258.359375 1683885056.3132
MEM 258.359375 1683885056.4232
MEM 258.359375 1683885056.5302
MEM 258.359375 1683885056.6393
MEM 258.359375 1683885056.7495
MEM 258.359375 1683885056.8590
MEM 258.359375 1683885056.9694
MEM 258.359375 1683885057.0803
MEM 258.359375 1683885057.1895
MEM 258.359375 1683885057.2963
MEM 258.359375 1683885057.4056
MEM 258.359375 1683885057.5157
MEM 258.359375 1683885057.6256
MEM 258.359375 1683885057.7329
MEM 258.359375 1683885057.8429
MEM 258.359375 1683885057.9503
MEM 258.359375 1683885058.0601
MEM 258.359375 1683885058.1686
MEM 258.359375 1683885058.2756
MEM 258.359375 1683885058.3838
MEM 258.359375 1683885058.4916
MEM 258.359375 1683885058.6017
MEM 258.359375 1683885058.7120
MEM 258.359375 1683885058.8237
MEM 258.359375 1683885058.9357
MEM 258.359375 1683885059.0451
MEM 258.359375 1683885059.1542
MEM 258.359375 1683885059.2615
MEM 258.359375 1683885059.3701
MEM 258.359375 1683885059.4805
MEM 258.359375 1683885059.5888
MEM 258.359375 1683885059.7008
MEM 258.359375 1683885059.8103
MEM 258.359375 1683885059.9180
MEM 258.359375 1683885060.0268
MEM 258.359375 1683885060.1368
MEM 258.359375 1683885060.2488
MEM 258.359375 1683885060.3592
MEM 258.359375 1683885060.4688
MEM 258.359375 1683885060.5782
MEM 258.359375 1683885060.6874
MEM 258.359375 1683885060.7962
MEM 258.359375 1683885060.9039
MEM 258.359375 1683885061.0152
MEM 258.359375 1683885061.1252
MEM 258.359375 1683885061.2356
MEM 258.359375 1683885061.3454
MEM 258.359375 1683885061.4534
MEM 258.359375 1683885061.5605
MEM 258.359375 1683885061.6695
MEM 258.359375 1683885061.7775
MEM 258.359375 1683885061.8855
MEM 258.359375 1683885061.9953
MEM 258.359375 1683885062.1053
MEM 258.359375 1683885062.2142
MEM 258.359375 1683885062.3245
MEM 258.359375 1683885062.4325
MEM 258.359375 1683885062.5396
MEM 258.359375 1683885062.6486
MEM 258.359375 1683885062.7606
MEM 258.359375 1683885062.8726
MEM 258.359375 1683885062.9846
MEM 258.371094 1683885063.0941
MEM 258.371094 1683885063.2036
MEM 258.371094 1683885063.3127
MEM 258.371094 1683885063.4196
MEM 258.371094 1683885063.5276
MEM 258.371094 1683885063.6350
MEM 258.371094 1683885063.7426
MEM 258.371094 1683885063.8508
MEM 258.371094 1683885063.9581
MEM 258.371094 1683885064.0666
MEM 258.371094 1683885064.1747
MEM 258.371094 1683885064.2838
MEM 258.371094 1683885064.3916
MEM 258.371094 1683885064.4993
MEM 258.371094 1683885064.6066
MEM 258.371094 1683885064.7153
MEM 258.371094 1683885064.8237
MEM 258.371094 1683885064.9325
MEM 258.371094 1683885065.0430
MEM 258.371094 1683885065.1511
MEM 258.371094 1683885065.2590
MEM 258.371094 1683885065.3672
MEM 258.371094 1683885065.4766
MEM 258.371094 1683885065.5848
MEM 258.371094 1683885065.6924
MEM 258.371094 1683885065.8005
MEM 258.371094 1683885065.9080
MEM 258.371094 1683885066.0149
MEM 258.371094 1683885066.1250
MEM 258.371094 1683885066.2340
MEM 258.371094 1683885066.3438
MEM 258.371094 1683885066.4517
MEM 258.371094 1683885066.5618
MEM 258.371094 1683885066.6707
MEM 258.371094 1683885066.7897
MEM 258.371094 1683885066.9049
MEM 258.371094 1683885067.0127
MEM 258.371094 1683885067.1219
MEM 258.371094 1683885067.2318
MEM 258.371094 1683885067.3387
MEM 258.371094 1683885067.4477
MEM 258.371094 1683885067.5567
MEM 258.371094 1683885067.6657
MEM 258.371094 1683885067.7767
MEM 258.371094 1683885067.8861
MEM 258.371094 1683885067.9959
MEM 258.371094 1683885068.1059
MEM 258.371094 1683885068.2149
MEM 258.371094 1683885068.3279
MEM 258.371094 1683885068.4389
MEM 258.371094 1683885068.5509
MEM 258.371094 1683885068.6619
MEM 258.371094 1683885068.7739
MEM 258.371094 1683885068.9109
MEM 258.371094 1683885069.0116
MEM 258.371094 1683885069.1210
MEM 258.371094 1683885069.2312
MEM 258.371094 1683885069.3412
MEM 258.371094 1683885069.4512
MEM 258.371094 1683885069.5593
MEM 258.371094 1683885069.6690
MEM 258.371094 1683885069.7775
MEM 258.371094 1683885069.8864
MEM 258.371094 1683885069.9962
MEM 258.371094 1683885070.1072
MEM 258.371094 1683885070.2162
MEM 258.308594 1683885070.3284
MEM 258.308594 1683885070.4392
MEM 258.308594 1683885070.5482
MEM 258.308594 1683885070.6586
MEM 258.308594 1683885070.7696
MEM 258.308594 1683885070.8786
MEM 258.308594 1683885070.9900
MEM 258.308594 1683885071.0986
MEM 258.308594 1683885071.2106
MEM 258.308594 1683885071.3186
MEM 258.308594 1683885071.4306
MEM 258.308594 1683885071.5367
MEM 258.308594 1683885071.6467
MEM 258.308594 1683885071.7570
MEM 258.308594 1683885071.8686
MEM 258.308594 1683885071.9770
MEM 258.308594 1683885072.0862
MEM 258.308594 1683885072.1970
MEM 258.308594 1683885072.3070
MEM 258.308594 1683885072.4180
MEM 258.308594 1683885072.5280
MEM 258.308594 1683885072.6381
MEM 258.308594 1683885072.7501
MEM 258.308594 1683885072.8621
MEM 258.308594 1683885072.9741
MEM 258.308594 1683885073.0841
MEM 258.308594 1683885073.1951
MEM 258.308594 1683885073.3071
MEM 258.308594 1683885073.4181
MEM 258.308594 1683885073.5280
MEM 258.308594 1683885073.6350
MEM 258.308594 1683885073.7471
MEM 258.308594 1683885073.8571
MEM 258.308594 1683885073.9692
MEM 258.308594 1683885074.0812
MEM 258.308594 1683885074.1932
MEM 258.308594 1683885074.3052
MEM 258.308594 1683885074.4164
MEM 258.308594 1683885074.5262
MEM 258.308594 1683885074.6372
MEM 258.308594 1683885074.7484
MEM 258.308594 1683885074.8575
MEM 258.308594 1683885074.9685
MEM 258.308594 1683885075.0792
MEM 258.308594 1683885075.1892
MEM 258.308594 1683885075.3012
MEM 258.308594 1683885075.4132
MEM 258.308594 1683885075.5252
MEM 258.308594 1683885075.6363
MEM 258.308594 1683885075.7483
MEM 258.308594 1683885075.8575
MEM 258.308594 1683885075.9673
MEM 258.308594 1683885076.0775
MEM 258.308594 1683885076.1873
MEM 258.308594 1683885076.2993
MEM 258.308594 1683885076.4086
MEM 258.308594 1683885076.5183
MEM 258.308594 1683885076.6303
MEM 258.308594 1683885076.7414
MEM 258.308594 1683885076.8484
MEM 258.308594 1683885076.9594
MEM 258.308594 1683885077.0704
MEM 258.308594 1683885077.1804
MEM 258.308594 1683885077.2904
MEM 258.308594 1683885077.4024
MEM 258.308594 1683885077.5124
MEM 258.308594 1683885077.6225
MEM 258.308594 1683885077.7325
MEM 258.308594 1683885077.8448
MEM 258.308594 1683885077.9547
MEM 258.308594 1683885078.0628
MEM 258.308594 1683885078.1726
MEM 258.308594 1683885078.2846
MEM 258.308594 1683885078.3918
MEM 258.308594 1683885078.5006
MEM 258.308594 1683885078.6106
MEM 258.308594 1683885078.7216
MEM 258.308594 1683885078.8306
MEM 258.308594 1683885078.9394
MEM 258.308594 1683885079.0486
MEM 258.308594 1683885079.1555
MEM 258.308594 1683885079.2672
MEM 258.308594 1683885079.3772
MEM 258.308594 1683885079.4856
MEM 258.308594 1683885079.5951
MEM 258.308594 1683885079.7038
MEM 258.308594 1683885079.8132
MEM 258.308594 1683885079.9229
MEM 258.308594 1683885080.0334
MEM 258.308594 1683885080.1404
MEM 258.308594 1683885080.2492
MEM 258.308594 1683885080.3590
MEM 258.308594 1683885080.4691
MEM 258.308594 1683885080.5828
MEM 258.308594 1683885080.6923
MEM 258.308594 1683885080.8003
MEM 258.308594 1683885080.9103
MEM 258.308594 1683885081.0173
MEM 258.308594 1683885081.1244
MEM 258.308594 1683885081.2323
MEM 258.308594 1683885081.3423
MEM 258.308594 1683885081.4523
MEM 258.308594 1683885081.5644
MEM 258.308594 1683885081.6745
MEM 258.308594 1683885081.7823
MEM 258.308594 1683885081.8923
MEM 258.308594 1683885082.0023
MEM 258.308594 1683885082.1103
MEM 258.308594 1683885082.2203
MEM 258.308594 1683885082.3275
MEM 258.308594 1683885082.4350
